promotion_id,promotion_name,start_date,end_date,discount_percentage,applicable_category
PR001,Weekend Electronics Flash Sale,2024-10-05,2024-10-06,0.15,Electronics
PR002,Apparel Season Kickoff,2024-10-10,2024-10-20,0.2,Apparel
PR003,Grocery Essentials Deal,2024-10-01,2024-10-07,0.1,Grocery
PR004,Home & Kitchen Savings,2024-11-01,2024-11-15,0.18,Home
PR005,Beauty Bundle Discount,2024-11-18,2024-11-30,0.12,Beauty
PR006,Black Friday Storewide,2024-11-29,2024-11-29,0.3,ALL
PR007,Cyber Week Electronics,2024-12-01,2024-12-07,0.25,Electronics
PR008,New Year Clearance,2024-12-26,2025-01-05,0.22,ALL
PR009,Back-to-Work Accessories,2025-01-10,2025-01-20,0.14,Accessories
PR010,Weekend Combo Saver,2025-02-01,2025-02-02,0.08,ALL
